"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RLGT^A","Radiant Logistics, Inc.","27.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a",
"REE","Rare Element Resources Ltd.","0.4899","$23.37M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ree",
"UTG","Reaves Utility Income Fund","32.4","$940.06M","2004","n/a","n/a","http://www.nasdaq.com/symbol/utg",
"REED","Reeds, Inc.","5.46","$71.32M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/reed",
"RWC","RELM Wireless Corporation","5.43","$74.2M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc",
"RCG","RENN Fund, Inc.","1.25","$5.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","5.3","$145.65M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rvp",
"RVM","Revett Mining Company, Inc.","0.3968","$15.51M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rvm",
"RNN","Rexahn Pharmaceuticals, Inc.","0.7497","$133.64M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rnn",
"RIC","Richmont Mines, Inc.","3.14","$151.59M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ric",
"REI","Ring Energy, Inc.","9.49","$244.16M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund.","21.63","$165.52M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rif",
"RBY","Rubicon Minerals Corp","1.11","$411.3M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rby",
"SGA","Saga Communications, Inc.","40.89","$237.53M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"SSN","Samson Oil & Gas Limited","0.2516","$35.7M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SPP","Sanchez Production Partners LLC","1.52","$43.76M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SAND          ","Sandstorm Gold Ltd","3.93","$461.69M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/sand          ",
"SARA","Saratoga Resources Inc","0.2216","$6.87M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sara",
